"","File.name","run","number","Average","Max","Tissue"
"1","Run5_1_","5","1",305.7,630,"LN"
"2","Run5_10","5","10",173.8,337,"LN"
"3","Run5_11","5","11",67.3,133,"LN"
"4","Run5_12","5","12",3117.5,6324,"Plasma"
"5","Run5_13","5","13",9206.9,18587,"Plasma"
"6","Run5_14","5","14",668.8,1319,"Plasma"
"7","Run5_15","5","15",2491.6,5271,"Plasma"
"8","Run5_16","5","16",278.7,550,"Plasma"
"9","Run5_17","5","17",569.6,1155,"Plasma"
"10","Run5_18","5","18",1144.9,2299,"Control"
"11","Run5_2_","5","2",549.4,1098,"LN"
"12","Run5_3_","5","3",400.5,786,"LN"
"13","Run5_4_","5","4",84.9,173,"LN"
"14","Run5_5_","5","5",117.9,232,"LN"
"15","Run5_6_","5","6",278.6,544,"LN"
"16","Run5_7_","5","7",81.5,160,"LN"
"17","Run5_8_","5","8",127.4,250,"LN"
"18","Run5_9_","5","9",101.5,199,"LN"
"19","Run6_1_","6","1",68.9,134,"LN"
"20","Run6_10","6","10",300.3,595,"LN"
"21","Run6_11","6","11",210,428,"HLN"
"22","Run6_12","6","12",75,147,"LN"
"23","Run6_13","6","13",100.9,190,"LN"
"24","Run6_14","6","14",101,191,"HLN"
"25","Run6_15","6","15",238,472,"LN"
"26","Run6_16","6","16",87.3,168,"HLN"
"27","Run6_17","6","17",64,124,"LN"
"28","Run6_18","6","18",17.2,33,"LN"
"29","Run6_19","6","19",54.8,108,"HLN"
"30","Run6_2_","6","2",94.2,183,"HLN"
"31","Run6_20","6","20",121,237,"LN"
"32","Run6_21","6","21",122.9,237,"LN"
"33","Run6_22","6","22",183.1,329,"HLN"
"34","Run6_23","6","23",200.4,380,"LN"
"35","Run6_24","6","24",171.2,327,"LN"
"36","Run6_3_","6","3",52.8,103,"LN"
"37","Run6_4_","6","4",164.8,333,"LN"
"38","Run6_5_","6","5",210.3,412,"Unknown"
"39","Run6_6_","6","6",67.3,132,"HLN"
"40","Run6_7_","6","7",576.3,1122,"LN"
"41","Run6_8_","6","8",173.6,340,"LN"
"42","Run6_9_","6","9",260.1,516,"LN"
